Source/Request	Already?	Know? (grade)	POPULAR	Title	APP	Artist	Other Artist	Year	Other year	Duplicate	Decade	Genre	Crowd hit	Country?	Gig notes	MP3	Lyrics	Melody	Chords	Needs?	SIB DONE	PDF DONE	FORSCORE/TYPE
Tuzzy Braddy/Tuz Piano 6/7/16				Bad Case Of Loving You	Y	Robert Palmer		7			70s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Bad Moon Risin'	Y	Creedence Clearwater Revival		6			60s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Bad Romance	Y	Lady Gaga		1			10s												yes
				Bad, Bad Leroy Brown	Y	Jim Croce		1973				Folk-rock	X										CRF
				Barbara Ann	Y	The Beach Boys		1965				Pop											PRF
				Barracuda	Y	Heart		7															CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Basket Case	Y	Green Day		9			90s												yes
				Battle of Who Could Care Less	Y	Ben Folds Five		9			90s												Piano transcription
PRF 4th only				Be True To Your School	Y	The Beach Boys		6															PRF
				Beast Of Burden	Y	The Rolling Stones		6															CRF
				Beauty And The Beast	Y	Disney		Disney ^^ 9			Disney ^^ 9	Disney											PRF
				Because	Y	The Beatles		6			60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16				Before He Cheats	Y	Carrie Underwood		0			00s	Country		X	Etzel								yes
				Begin The Beguine	Y	Standards		Standards															
				Being For The Benefit Of Mr. Kite	Y	The Beatles		6			60s-70s												BFB
				Bell Bottom Blues	Y	Eric Clapton		1970				Classic rock											CRF
PRF 3rd only				Bennie and the Jets	Y	Elton John		1973				Glam rock, Rock, Pop											PRF
				Best Imitation of Myself 	Y	Ben Folds Five		9			90s												Piano transcription
				Bewitched	Y	Ella Fitzgerald		Standards															
				Beyond The Sea	Y	Bobby Darin		1959				Jazz											PRF
				Bidin' My Time	Y	Standards		Standards															
				Big Man On Mulberry Street	Y	Billy Joel		1986				Adult contemporary											BJC
			Y	Big Shot	Y	Billy Joel		7															BJC
				Bills, Bills, Bills	Y	Destiny’s Child		1999					X										RBF
				Birthday	Y	The Beatles		6			60s-70s												BFB
				Blackberry Winter	Y	Standards		Standards															
				Blackbird	Y	The Beatles		6			60s-70s												BFB
				Blue And Sentimental	Y	Standards		Standards															
				Blue Jay Way	Y	The Beatles		6			60s-70s												BFB
				Blue Room	Y	Standards		Standards															
PRF 3rd only				Blue Velvet	Y	Bobby Vinton		1963				Rock											PRF
				Blues In The Night	Y	Standards		Standards															
				Bluesette	Y	Standards		Standards															
Tuzzy Braddy/Tuz Piano 6/7/16				Blurred Lines	Y	Robin Thicke		1			10s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Blvd of Broken Dreams	Y	Green Day		0			00s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Bohemian Rhapsody	Y	Queen		7			70s												yes
				Boogie Oogie Oogie	Y	A Taste of Honey		1978				Pop											RBF
				Born in the USA	Y	Bruce Springsteen		1984				Rock											
Tuzzy Braddy/Tuz Piano 6/7/16				Born This Way	Y	Lady Gaga		1			10s												yes
				Boys	Y	The Beatles		6			60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16				Boys of Summer	Y	Don Henley ^^ The Ataris		7 ^^ 0			80s												yes
				Breakdown	Y	Tom Petty and the Heartbreakers		1977				Funk											CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Breakfast at Tiffany's	Y	Deep Blue Something		9			90s												yes
				Brick	Y	Ben Folds Five		9			90s												BF Scores
				Brick House	Y	The Commodores		1977				Funk											RBF
Tuzzy Braddy/Tuz Piano 6/7/16				Brighter Than The Sun	Y	Colbie Caillat		1			10s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Brown Eyed Girl	Y	Van Morrison		6			60s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Build Me Up Buttercup	Y	The Foundations		6			60s												yes
		B		Burning For You	Y	Blue Oyster Cult		1981				Classic Rock											CRF
				But Not For Me	Y	Standards		Standards															
				C'etait Toi (You Were The One)	Y	Billy Joel		1980				Pop											BJC
				California Girls	Y	The Beach Boys		6			60s	Classic Rock	X										CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Call Me Maybe	Y	Carly Rae Jepsen		1			10s												yes
				Can You Feel The Love Tonight	Y	Elton John		Disney ^^ 1994			Disney ^^ 9	Disney											PRF
				Can't Buy Me Love	Y	The Beatles		6			60s-70s	Classic Rock											BFB
				Can't Help Falling In Love	Y	Elvis Presley		1961				Rock											PRF
PRF 4th only				Can't Take My Eyes Off Of You	Y	The Four Seasons		1967				Pop											PRF 4th (don't have)
Tuzzy Braddy/Tuz Piano 6/7/16				Can't You See	Y	Marshall Tucker Band		7			60-70												yes
PRF 3rd only				Candle in the Wind	Y	Elton John		1973				Rock, Pop											PRF
			Y	Captain Jack	Y	Billy Joel		7															BJC
				Careless Talk	Y	Billy Joel		8															BJC
Tuzzy Braddy/Tuz Piano 6/7/16				Carolina In My Mind	Y	James Taylor		7			70s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Carry On My Wayward Son	Y	Kansas		7			70s												yes
				Carry On Wayward Son	Y	Kansas		8															CRF
				Carry That Weight	Y	The Beatles		6			60s-70s												BFB
				Carrying Cathy	Y	Ben Folds		0			00s												PV
				Caught Up In You	Y	.38 Special		1982				Classic rock											CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Cecilia	Y	Simon and Garfunkel		6			60s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Celebration	Y	Kool & the Gang		8			80s												yes
				Centerfold	Y	J. Geils Band		8			80s	Classic Rock											CRF
				Chains	Y	The Beatles		6			60s-70s												BFB
				Change The World	Y	Eric Clapton		9			90s												PRF
				Chariots Of Fire	Y	Vangelis		1981				Rock, Pop											PRF
				Christie Lee	Y	Billy Joel		8															BJC
				Close To The Borderline	Y	Billy Joel		7															BJC
Tuzzy Braddy/Tuz Piano 6/7/16				Closing Time	Y	Semisonic		9			90s												yes
				Cocaine	Y	Eric Clapton		1977				Classic rock											CRF
				Code Of Silence	Y	Billy Joel		8															BJC
				Colors Of The Wind	Y	Disney		Disney ^^ 9			Disney ^^ 9	Disney											PRF
				Come Fly With Me	Y	Frank Sinatra		Standards															
Tuzzy Braddy/Tuz Piano 6/7/16				Come On Eileen	Y	Dexy's Midnight Runners		8			80s	Classic rock											yes
				Come Sail Away	Y	Styx		1977				Classic rock											CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Come To My Window	Y	Melissa Etheridge		9			90s												yes
				Come Together	Y	The Beatles		6			60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16				Complicated 	Y	Avril Lavine		0			00s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Cooler Than Me	Y	Mike Posner		1			10s												yes
				Copacabana	Y	Barry Manilow		1978				Adult contemporary, Pop											PRF
				Crazy He Calls Me	Y	Standards		Standards															
Tuzzy Braddy/Tuz Piano 6/7/16				Crazy Little Thing Called Love	Y	Queen		7			70s												yes
				Creep (Radiohead)	Y	Radiohead		1993				Rock											
				Creep (TLC)	Y	TLC		1993				R&B											RBF
PRF 3rd only				Crocodile Rock	Y	Elton John		1973				Classic Rock											PRF
				Cry Baby Cry	Y	The Beatles		6			60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16				Cryin'	Y	Aerosmith		9			90s	Classic Rock											yes
Tuzzy Braddy/Tuz Piano 6/7/16				Dancing In The Moonlight	Y	Van Morrison		7			70s												yes
				Dancing In The Street	Y	Martha & The Vandellas		6															RBF
PRF 3rd only				Daniel	Y	Elton John		1973				Classic Rock											PRF
				Day In, Day Out	Y	Standards		Standards															
				Iron Man		Black Sabbath																	CRF
				Paranoid		Black Sabbath																	CRF
				Light In Your Eyes		Blessid Union of Souls																	RBF
				Day Tripper	Y	The Beatles		6				Classic Rock											PRF
				Spinning Wheel		Blood, Sweat & Tears																	CRF
				You've Made Me So Very Happy		Blood, Sweat & Tears																	CRF
				Days Of Wine And Roses	Y	Standards		Standards															
				Dear Prudence	Y	The Beatles		6			60s-70s												BFB
				December 1963 (Oh, What A Night)	Y	The Four Seasons		1975															PRF
Tuzzy Braddy/Tuz Piano 6/7/16				Desperado	Y	Don Henley		7			70s	Classic Rock											yes
				Dig A Pony	Y	The Beatles		6			60s-70s												BFB
				Dig It	Y	The Beatles		6			60s-70s												BFB
				Dizzy Miss Lizzie	Y	The Beatles		6			60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16				DJ Got Us Fallin' In Love	Y	Usher		1			10s												yes
				Shakedown		Bob Seger																	CRF
PRF 4th only				Do Wah Diddy Diddy	Y	Manfred Man		6															
				Do You Want To Know A Secret?	Y	The Beatles		6			60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16				Doctor My Eyes	Y	Jackson Browne		7			70s												yes
				Doctor Robert	Y	The Beatles		6			60s-70s												BFB
				Don't Ask Me Why	Y	Billy Joel		7															BJC
				Don't Bother Me	Y	The Beatles		6			60s-70s												BFB
				Don't Bring Me Down	Y	Electric Light Orchestra		1979															CRF
				Don't Change Your Plans	Y	Ben Folds Five		9			90s												BF Scores
				Don't Do Me Like That	Y	Tom Petty and The Heartbreakers		1979				Classic rock											CRF
				4 Seasons Of Loneliness		Boyz II Men		1997															RBF
				Don't Fear The Reaper	Y	Blue Oyster Cult		1976				Classic rock											CRF
				It's So Hard To Say Goodbye To Yesterday		Boyz II Men																	RBF
Tuzzy Braddy/Tuz Piano 6/7/16				Don't Know Why	Y	Norah Jones		0			00s												yes
				Don't Let Me Down	Y	The Beatles		6			60s-70s												BFB
				Don't Let The Sun Go Down On Me	Y	Elton John		7															CRF
				Lido Shuffle		Boz Scaggs																	CRF
				Lowdown		Boz Scaggs																	RBF
Tuzzy Braddy/Tuz Piano 6/7/16				Don't Lets Start	Y	They Might Be Giants		8			80s												yes
				Don't Pass Me By	Y	The Beatles		6			60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16				Don't Speak	Y	No Doubt		9			90s												yes
				A Rainy Night In Georgia		Brook Benton		1970															RBF
05/14/16 Fleischman party				Born To Run	Learn!	Bruce Springsteen		1975				Rock										X	LC
				Don't Stand So Close To Me	Y	The Police		1980				Rock											CRF
				Don't Stop	Y	Fleetwood Mac		1977				Classic rock											CRF
Tuzzy Braddy/Tuz Piano 6/7/16	X	A		Don't Stop Believin'	Y	Journey		8			80s				Brillant								yes
Tuzzy Braddy/Tuz Piano 6/7/16				Don't Stop the Music	Y	Rhianna		1			10s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Don't Wanna Miss A Thing	Y	Aerosmith		9			90s			X	Etzel								yes
Tuzzy Braddy/Tuz Piano 6/7/16				Don't Worry Be Happy	Y	Bobby McFerrin		8			80s												yes
				Doo Wop (That Thing)	Y	Lauryn Hill		9															RBF
Tuzzy Braddy/Tuz Piano 6/7/16				Down On The Corner	Y	Creedence Clearwater Revival		6			60-70												yes
				It's Only Love		Bryan Adams																	CRF
				Run To You		Bryan Adams																	CRF
				Dream On	Y	Aerosmith		7															CRF
				Dreamlover	Y	Mariah Carey		9															RBF
				Dreams	Y	Fleetwood Mac		1977				Classic rock											CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Drift Away	Y	Dobie Grey		7			60-70												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Drive By	Y	Train		1			10s			X	Etzel								yes
				Drive My Car	Y	The Beatles		6			60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16				Drops of Jupiter	Y	Train		9			90s	Favorites											yes
				Dust In The Wind	Y	Kansas		1977				Prog rock											CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Dynomite	Y	Talo Cruz		1			10s												yes
				Earth Angel	Y	The Penguins		1954				Pop music, Rock											PRF
				Easy Money	Y	Billy Joel		8															BJC
				Easy To Love	Y	Standards		Standards															
				Eddie Walker	Y	Ben Folds Five		9			90s												BF Scores
Tuzzy Braddy/Tuz Piano 6/7/16				Edge of Glory	Y	Lady Gaga		1			10s												yes
				Eight Days A Week	Y	The Beatles		6			60s-70s												BFB
				Eight Miles High	Y	The Byrds		1966				Classic Rock											CRF
				Eleanor Rigby	Y	The Beatles		6				Classic Rock											PRF
				Emaline	Y	Ben Folds Five		9			90s												BF Scores
				Embraceable You	Y	Frank Sinatra		Standards															
				End Of The Road	Y	Boyz II Men		9															RBF
				Evaporated	Y	Ben Folds Five		9			90s												BF Scores
				Every Breath You Take	Y	The Police		1983				Rock											CRF
				Every Little Thing	Y	The Beatles		6			60s-70s												BFB
				Every Little Thing She Does Is Magic	Y	The Police		1981				Classic Rock											CRF
				Everybody Has A Dream	Y	Billy Joel		7															BJC
				Everybody Loves You Now	Y	Billy Joel		7															BJC
Tuzzy Braddy/Tuz Piano 6/7/16				Everybody Talks	Y	Neon Trees		1			10s												yes
				Everybody's Got Something To Hide Except Me And My Monkey	Y	The Beatles		6			60s-70s												BFB
				Everybody's Trying To Be My Baby	Y	The Beatles		6			60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16				Everything	Y	Michael Buble		1			10s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Everything Falls Apart	Y	Dog's Eye View		9			90s												yes
				Evil Woman	Y	Electric Light Orchestra		1975				Rock											CRF
				Exhale (Shoop Shoop)	Y	Whitney Houston		9															RBF
Tuzzy Braddy/Tuz Piano 6/7/16				Eye of the Tiger	Y	Survivor		8			80s												yes
05/14/16 Fleischman party	X			Faith	Y	George Michael		8					X										
PRF 4th only				Love The One You're With		Crosby, Stills and Nash																	PRF 4th (don't have)
PRF 3rd only				(I Just) Died in Your Arms		Cutting Crew		1986				Rock											PRF
				Falling In Love With Love	Y	Standards		Standards															
				True Colors		Cyndi Lauper																	PRF
				Falling Of The Rain	Y	Billy Joel		7															BJC
Tuzzy Braddy/Tuz Piano 6/7/16				Fame	Y	Irene Cara		8			80s												yes
				Fantasy	Y	Mariah Carey		9															RBF
				Fantasy	Y	Mariah Carey		9															PRF
				Fascinating Rhythm	Y	Standards		Standards															
				Fast Car	Y	Tracy Chapman		1988				Singer-songwriter											RBF
Tuzzy Braddy/Tuz Piano 6/7/16				Fat Bottom Girls	Y	Queen		7				Favorites											yes
Tuzzy Braddy/Tuz Piano 6/7/16				Feel Like Makin' Love	Y	Bad Company		7			60-70				Etzel								yes
				Fields Of Gold	Y	Sting		9															CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Fire And Rain	Y	James Taylor		7			70s												yes
				Fired	Y	Ben Folds		0			00s												PV
Tuzzy Braddy/Tuz Piano 6/7/16				Firework	Y	Katy Perry		1			10s												yes
				Fixing A Hole	Y	The Beatles		6			60s-70s												BFB
				Fly Like An Eagle	Y	Steve Miller Band ^^ Seal	Seal	7															PRF
				Flying	Y	The Beatles		6			60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16				Follow You Down	Y	The Gin Blossoms		9			90s												yes
				Love Child		Diana Ross & The Supremes																	RBF
				Abraham, Martin And John		Dick Holler		1968															PRF
05/07/16 Irizarry wedding	X	A		Footloose	Y	Kenny Loggins		8			80s	Pop	X										FB
				For No One	Y	The Beatles		6			60s-70s												BFB
				For Once In My Life	Y	Stevie Wonder		7															RBF
Tuzzy Braddy/Tuz Piano 6/7/16				For What It's Worth	Y	Buffalo Springfield		6			60s												yes
				For You Blue	Y	The Beatles		6			60s-70s												BFB
				Forever Young	Y	Rod Stewart		1988				Pop											CRF
05/14/16 Fleischman party	X			Forget You	Y	CeeLo Green		2010				Pop											
				Fortress Around Your Heart	Y	Sting		1985															CRF
PRF 4th only				Frankenstein	Y	Edgar Winter Group		1973															PRF
				Fred Jones Part 2	Y	Ben Folds		0			00s												PV
PRF 3rd only				Free Bird	Y	Lynyrd Skynyrd		1973				Classic Rock, Rock											PRF
				Hurdy Gurdy Man		Donovan																	CRF
05/14/16 Fleischman party	X			Free Fallin’	Y	Tom Petty and the Heartbreakers		1989				Classic Rock	X										
				Sunshine Superman		Donovan																	CRF
				Free Ride	Y	Edgar Winter Group		2004				Rock											CRF
				Boogie Wonderland		Earth, Wind & Fire																	RBF
05/14/16 Fleischman party	X			Friday I’m In Love	Y	The Cure		1992				New wave/post-punk											
Tuzzy Braddy/Tuz Piano 6/7/16				Friends in Low Places	Y	Garth Brooks		9			90s												yes
				From Me To You	Y	The Beatles		6			60s-70s												BFB
				From This Moment On	Y	Standards		Standards															
PRF 4th only				I'll Be	Find	Edward McCain		9															PRF 4th (don't have)
PRF 4th only				Fun, Fun, Fun	Y	The Beach Boys		1964				Surf rock, Rock, Pop											PRF
PRF 4th only				Georgia On My Mind	Y	Ray Charles		6				R&B/soul											PRF
				Sweet Talkin' Woman		Electric Light Orchestra																	CRF
				Get Back	Y	The Beatles		6				Rock											CRF
				Get It Right The First Time	Y	Billy Joel		7															BJC
Tuzzy Braddy/Tuz Piano 6/7/16				Get Lucky	Y	Daft Punk		1			10s												yes
				Get Ready	Y	The Temptations		1966				Classic soul											RBF
				Getting Better	Y	The Beatles		6			60s-70s												BFB
				Getting Closer	Y	Billy Joel		8															BJC
PRF 3rd only				Gimme Some Lovin	Y	Spencer Davis Group		6															PRF
				Girl	Y	The Beatles		6			60s-70s												BFB
				Island Girl		Elton John																	CRF
				Girls Just Want To Have Fun	Y	Cyndi Lauper		1983				Pop											PRF
				Philadelphia Freedom		Elton John																	CRF
				Give A Little Bit	Y	Supertramp		1977				Rock											CRF
				Someone Saved My Life Tonight		Elton John																	CRF
				Sorry Seems To Be The Hardest Word		Elton John																	CRF
				Give Me One Reason	Y	Tracy Chapman		1995				Singer-songwriter											RBF
Tuzzy Braddy/Tuz Piano 6/7/16				Give Your Heart a Break	Y	The Wanted		1			10s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Glad You Came	Y	The Wanted		1			10s												yes
				Glass Onion	Y	The Beatles		6			60s-70s												BFB
				Glory Days 	Y	Bruce Springsteen		1984				Classic rock											PRF
Tuzzy Braddy/Tuz Piano 6/7/16				God Bless the Broken Road	Y	Rascall Flatts		0			00s			X	Etzel								yes
				Golden Slumbers	Y	The Beatles		6			60s-70s												BFB
				Gone	Y	Ben Folds		0			00s												PV
				(Let Me Be Your) Teddy Bear		Elvis Presley?																	PRF
				(You're The) Devil In Disguise		Elvis Presley?		1963															PRF
				A Big Hunk O' Love		Elvis Presley?																	PRF
Tuzzy Braddy/Tuz Piano 6/7/16				Good	Y	Better Than Ezra		9			90s												yes
				Good Day Sunshine	Y	The Beatles		6			60s-70s												BFB
				Comin' Home		Eric Clapton																	CRF
				Good Lovin'	Y	The Rascals		1966															PRF
				I Can't Stand It		Eric Clapton																	CRF
				Good Morning, Good Morning	Y	The Beatles		6			60s-70s												BFB
				Let It Rain		Eric Clapton																	CRF
				Good Night	Y	The Beatles		6			60s-70s												BFB
				Willie And The Hand Jive		Eric Clapton																	CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Good Riddance (Time of Your Life)	Y	Green Day		9			90s												yes
PRF 4th only				Good Vibrations	Y	The Beach Boys		6															PRF
PRF 3rd only				Goodbye Yellow Brick Road	Y	Elton John		1973				Rock, Pop											PRF
			Y	Goodnight Saigon	Y	Billy Joel		7															BJC
				Goodnight, Sweetheart, Goodnight	Y	The Spaniels		2010				Pop											RBF
				Kiss You All Over		Exile																	CRF
				Blueberry Hill		Fats Domino																	RBF
				Got My Mind Set On You	Y	George Harrison		1987				Classic rock											CRF
				Got To Begin Again	Y	Billy Joel		7															BJC
				Got To Get You Into My Life	Y	The Beatles		6				Rock											CRF
				Over My Head		Fleetwood Mac																	CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Got You Where I Want You	Y	The Flys		9			90s												yes
				Say You Love Me		Fleetwood Mac																	CRF
				Great Balls Of Fire	Y	Jerry Lee Lewis		6				Musicals											PRF
Tuzzy Braddy/Tuz Piano 6/7/16				Grenade	Y	Bruno Mars		1			10s												yes
				Half A Mile Away	Y	Billy Joel		7															BJC
				Happiness Is A Warm Gun	Y	The Beatles		6			60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16				Happy	Y	Pharrell Williams		1			10s												yes
				Happy Together	Y	The Turtles		1967				Rock, Pop											PRF
				Hard To Handle	Y	The Spin Doctors		1990				Hard rock											RBF
PRF 3rd only				Have I Told You Lately	Y	Rod Stewart		1991				Adult contemporary											PRF
				Rock & Roll - Part II (The Hey Song)		Gary Glitter																	CRF
				Invisible Touch		Genesis																	CRF
				Land Of Confusion		Genesis																	CRF
				Dark Horse		George Harrison																	CRF
05/07/16 Irizarry wedding	X	A		Have you ever seen the rain	Y	CCR		1970				Classic Rock											LC
Tuzzy Braddy/Tuz Piano 6/7/16				Have You Ever Seen the Rain	Y	Creedence Clearwater Revival		6			60-70												yes
				Have You Met Miss Jones?	Y	Standards		Standards															
Tuzzy Braddy/Tuz Piano 6/7/16				Haven't Met You Yet	Y	Michael Buble		0			00s												yes
				Heartache Tonight	Y	The Eagles		1979				Classic rock											CRF
				If I Were Your Woman		Gladys Knight & The Pips																	RBF
				Heartbreak Hotel	Y	Elvis Presley		6															PRF
